id;Nombre;Superficie;Precio ; Precio ;Latitud;Longitud;URL
33;Colombia/ Héroes de la Concepción;170 ;180000000;;-706.252;-334.024;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/colombia-heroes-de-la-concepcion/1367796?o=mapa
59;El Salto-Las Torres - El Salto / Las Torres;565;197.945.820;;-706.226;-334.027;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/el-salto-las-torres-el-salto-las-torres/986916?o=mapa
35;Obispo del pozo;314;364650625;;-706.494;-334.045;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/obispo-del-pozo/1359734?o=mapa
47;Inversionistas esquina Metro Einstein - Recoleta;288;352.859.940;;-706.402;-334.057;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/inversionistas-esquina-metro-einstein-recoleta/1238867?o=mapa
44;Av. Mexico/Obispo del Pozo;160;415.000.000;;-706.509;-334.062;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/av-mexico-obispo-del-pozo/1146335?o=mapa
55;REGIMIENTO DE BUIN/EL SALTO;226;260.000.000;;-706.469;-334.078;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/regimiento-de-buin-el-salto/1286180?o=mapa
34;Comandante Véliz;122 ;192724640;;-706.333;-334.088;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/comandante-veliz/1376113?o=mapa
53;Los Pamperos/El Salto;130;229.502.400;;-706.379;-334.104;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/los-pamperos-el-salto/1423471?o=mapa
57;Casa en Venta en Recoleta Comandante Veliz;122;145.000.000;;-706.331;-334.112;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/casa-en-venta-en-recoleta-comandante-veliz/1493655?o=mapa
65;AV. VALDIVIESO /JUAN ELIAS /RECOLETA;293;436.054.560;;-706.359;-334.126;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/av-valdivieso-juan-elias-recoleta/1438189?o=mapa
64;Francisco Silva;289;240.000.000;;-70.635;-334.134;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/francisco-silva/1200857?o=mapa
39;Fco Silva / Recoleta. Metro Cementerios;259;246.715.080;;-706.361;-334.156;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/fco-silva-recoleta-metro-cementerios/1458132?o=mapa
66;Av.Peru/Recoleta;78;130.000.000;;-706.401;-334.172;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/av-peru-recoleta/1256355?o=mapa
1;Barrio Bellavista;215;450.000.000;15.686;-706.405;-334.308;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/barrio-bellavista/1437323?o=listado_caluga_info
45;VENDE SGQ PROPIEDADES!!!...UNICA OPORTUNIDAD MARAVILLOSA CASA AISLADA;170;155.000.000;;-706.401.403;-3.339.633;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/vende-sgq-propiedades-unica-oportunidad-maravillosa-casa-aislada/1229432?o=mapa
41;VENTA CASA METRO VESPUCIO NORTE;40;70.000.000;;-706.542.833;-333.789.069;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/venta-casa-metro-vespucio-norte/1344704?o=mapa
62;Casa 3D 1B amplio estacionamiento excelente conectividad. Recoleta;80;83.000.000;;-7.065.287.302;-333.868.619;https://www.toctoc.com/propiedades/compraparticularsr/casa/recoleta/casa-3d-1b-amplio-estacionamiento-excelente-conectividad-recoleta/1025233?o=mapa
43;CASA AISLADA UF2700, COMUNA RECOLETA;78;77.457.060;;-7.065.312;-333.982.052;https://www.toctoc.com/propiedades/compraparticularsr/casa/recoleta/excelente-oportunidad-se-vende-casa-aislada-uf2700-comuna-recoleta/1369004?o=mapa
40;Av. Diagonal José María Caro / Emiliano Zapata;86;70.000.000;;-706.486.058;-333.989.165;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/av-diagonal-jose-maria-caro-emiliano-zapata/1441952?o=mapa
56;Oportunidad en Excelente Barrio de Recoleta;300;315.565.800;;-706.497.574;-334.033.303;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/oportunidad-en-excelente-barrio-de-recoleta/1452000?o=mapa
54;CASA RECOLETA;120;187.073.143;;-706.410.416;-334.092.519;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/casa-recoleta/1209402?o=mapa
36;Casas Recoleta;625 ;258649204;;-706.379.957;-334.133.752;https://www.toctoc.com/propiedades/compracorredorasr/casa/recoleta/casas-recoleta/1462365?o=mapa
68;AZUFRE 442, Recoleta;137;174.000.000;;-7.063.561.902;-3.339.554.162;https://www.toctoc.com/propiedades/compraparticularsr/casa/recoleta/azufre-442-recoleta/1471084?o=mapa
51;Casa, sector residencial IDEAL INVERSIONISTAS;150;90.000.000;;-7.063.864.626;-3.339.671.671;https://www.toctoc.com/propiedades/compraparticularsr/casa/recoleta/casa-sector-residencial-ideal-inversionistas/1218631?o=mapa
60;EINSTEIN 185 y 195 Recoleta;144;269.665.320;;-7.063.484.469;-3.340.600.109;https://www.toctoc.com/propiedades/compraparticularsr/casa/recoleta/einstein-185-y-195-recoleta/1151805?o=mapa
