;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;demanda
11;4133,680596;4401,807343;4268,344935;2784,870098;2847,537792;3358,678831;2369,500912;3065,87808;3237,987752;3647,580993;2791,656821;2883,109765;2806,132593;4024,507592;4104,575689;2989,272726;3086,091558;3088,672171;3173,775601;2630,718425;3703,889796;3324,448483;3485,766013;4047,878763;2412,544036;2588,601261;2044,904915;1722,276144;2341,598418;1790,719697;2150,627226;1253,085652;2117,944871;1037,018177;1355,900235;2225,503516;1154,759755;3782,893152;2575,78032;1583,165697;1708,68188;1156,939715;357,4652215;596,744837;1296,187054;1849,445176;1375,36032;953,0844766;374,4086802;1638,538266;1260,322278;1254,600349;1213,960369;1722,260374;2149,068972;2072,886785;930,6056636;1190,585472;2907,490835;1960,498596;1945,85516;1906,28446;2203,333373;2284,240597;1071,346351;1320,060144;1459,658996;1587,586576;1788,154703;1904,247556;23
12;4500,044794;4768,17154;4634,709132;3151,234295;3213,901989;3725,043028;2423,251978;3432,242277;3604,351949;4013,945191;3158,021019;3249,473963;3172,49679;4390,871789;4470,939887;3355,636924;3452,455756;3455,036368;3540,139798;2997,082623;4070,253994;3690,81268;3852,13021;4414,242961;2300,898954;2893,839597;1577,741336;1887,1279;2506,450174;1323,556118;1879,704999;1619,449849;1847,022643;1342,590068;1661,138571;1954,581289;1501,38321;4088,131488;2881,018656;1929,789153;2075,046077;1321,79147;367,7483058;803,4909485;1601,42539;2154,683512;1540,212076;1117,936232;275,8768977;1924,425898;1626,686475;1620,964547;1580,324567;1451,338146;1681,905393;1605,723206;463,442085;1534,568961;3212,729171;2265,736932;1674,932933;1635,362233;2521,505352;2111,787574;1236,198106;1484,9119;1624,510752;1752,438332;1953,006459;2092,627715;68
13;4804,912727;5073,039473;4939,577065;3456,102228;3518,769922;4029,910962;2725,615556;3737,110211;3909,219882;4318,813124;3462,888952;3554,341896;3477,364723;4695,739723;4775,80782;3660,504857;3757,323689;3759,904301;3845,007731;3301,950556;4375,121927;3995,680613;4156,998143;4719,110894;2603,262532;3133,486721;1835,79336;2126,544478;2745,866752;1581,608141;2182,068577;1924,317783;2149,386222;1689,22931;1900,785695;2256,944867;1861,082472;4327,778612;3120,66578;2289,488415;2379,914011;1561,208048;726,5510599;1108,358882;1841,072514;2394,330636;1779,628654;1357,35281;635,57616;2226,789476;1931,554409;1925,83248;1885,1925;1753,701724;1939,957417;1863,775229;721,4941084;1881,208203;3452,376295;2505,384056;1977,296511;1937,725811;2823,86893;2369,839598;1475,614684;1724,328477;1863,927329;1991,854909;2192,423037;2332,044293;40
14;4755,415031;5023,541777;4890,079369;3406,604532;3469,272226;3980,413265;2676,11786;3687,612514;3859,722186;4269,315428;3413,391256;3504,8442;3427,867027;4646,242026;4726,310124;3611,007161;3707,825993;3710,406605;3795,510035;3252,45286;4325,624231;3946,182917;4107,500447;4669,613198;2553,764836;3183,115512;1786,295663;2176,173269;2795,495543;1532,110445;2132,570881;1874,820086;2099,888525;1721,783196;1950,414487;2207,447171;1861,86124;4377,407404;3170,294571;2290,267182;2330,416315;1610,836839;746,9414339;1058,861186;1890,701306;2443,959427;1829,257445;1406,981601;655,0700259;2177,29178;1882,056712;1876,334784;1835,694804;1704,204028;1890,45972;1814,277533;671,9964123;1897,686957;3502,005087;2555,012848;1927,798815;1888,228115;2774,371234;2320,341901;1525,243476;1773,957269;1913,556121;2041,483701;2242,051828;2381,673084;48
15;5013,007848;5281,134594;5147,672186;3664,197349;3726,865043;4238,006082;3248,828163;3945,205332;4117,315003;4526,908245;3670,984073;3762,437017;3685,459844;4903,834843;4983,902941;3868,599978;3965,41881;3967,999422;4053,102852;3510,045677;4583,217048;4203,775734;4365,093264;4927,206015;3291,871288;1123,72858;3488,122187;1614,458011;2049,960611;3233,936969;3384,316199;1698,113554;3231,769541;752,5740089;376,4221824;3339,328187;608,6357579;2329,14921;1005,437149;670,5275154;1799,192516;1016,42288;1680,040452;1841,379635;695,1346798;947,054498;1176,911218;1301,304207;1741,209688;2517,865517;2139,64953;1852,138737;1511,987121;2955,949346;3592,286244;3516,104057;2373,822936;651,3828337;1337,147665;882,6389481;3059,679831;3020,10913;3082,660624;2688,074597;1548,223354;1723,894144;1522,73271;1201,370672;1399,974822;1386,629898;25
16;4802,786853;5070,913599;4937,451191;3453,976354;3516,644048;4027,785087;2725,994037;3734,984336;3907,094008;4316,68725;3460,763078;3552,216022;3475,238849;4693,613848;4773,681946;3658,378983;3755,197815;3757,778427;3842,881857;3299,824682;4372,996053;3993,554739;4154,872269;4716,98502;2603,641013;2957,403075;1880,483395;1950,460832;2569,783106;1626,298177;2182,447058;1922,191908;2149,764702;1513,145665;1724,70205;2257,323348;1684,998827;4151,694967;2944,582134;2113,40477;2377,788136;1385,124402;550,4674145;1106,233007;1664,988869;2218,24699;1603,545008;1181,269164;459,4925145;2227,167957;1929,428534;1923,706606;1883,066626;1754,080205;1984,647452;1908,465265;766,1841439;1705,124557;3276,29265;2329,300411;1977,674992;1938,104292;2824,247411;2414,529633;1299,531039;1548,244832;1687,843684;1815,771264;2016,339391;2155,960647;48
17;4855,020067;5123,146813;4989,684405;3506,209568;3568,877262;4080,018302;2778,227251;3787,217551;3959,327222;4368,920464;3512,996292;3604,449236;3527,472063;4745,847063;4825,91516;3710,612197;3807,431029;3810,011641;3895,115071;3352,057896;4425,229267;4045,787953;4207,105483;4769,218234;2655,874227;3009,63629;1932,716609;2002,694046;2622,01632;1678,531391;2234,680272;1974,425123;2201,997917;1565,378879;1776,935264;2309,556562;1737,232041;4203,928181;2996,815349;2165,637984;2430,021351;1437,357617;602,7006288;1158,466222;1717,222083;2270,480205;1655,778222;1233,502379;511,7257288;2279,401171;1981,661749;1975,93982;1935,29984;1806,313419;2036,880666;1960,698479;818,4173582;1757,357772;3328,525864;2381,533625;2029,908206;1990,337506;2876,480625;2466,762847;1351,764253;1600,478046;1740,076898;1868,004478;2068,572605;2208,193862;25
18;4468,286122;4736,412868;4602,95046;3119,475623;3182,143317;3693,284356;2391,493305;3400,483605;3572,593277;3982,186519;3126,262347;3217,715291;3140,738118;4359,113117;4439,181214;3323,878252;3420,697084;3423,277696;3508,381126;2965,32395;4038,495322;3659,054008;3820,371538;4382,484289;2269,140282;2861,782171;1545,982664;1855,070474;2474,392748;1291,797446;1847,946327;1587,691177;1815,263971;1310,532642;1629,081145;1922,822617;1469,325784;4056,074062;2848,961229;1897,731727;2043,287405;1289,734044;335,6908797;771,7322764;1569,367964;2122,626085;1508,15465;1085,878806;243,8194716;1892,667226;1594,927803;1589,205875;1548,565895;1419,579474;1650,146721;1573,964534;431,6834128;1502,511535;3180,671745;2233,679506;1643,174261;1603,60356;2489,74668;2080,028902;1204,14068;1452,854474;1592,453325;1720,380906;1920,949033;2060,570289;68
19;4828,415576;5096,542322;4963,079914;3479,605078;3542,272771;4053,413811;2751,62276;3760,61306;3932,722731;4342,315973;3486,391801;3577,844745;3500,867572;4719,242572;4799,310669;3684,007706;3780,826538;3783,40715;3868,51058;3325,453405;4398,624776;4019,183462;4180,500992;4742,613743;2629,269736;2983,031799;1906,112118;1976,089555;2595,41183;1651,9269;2208,075781;1947,820632;2175,393426;1538,774388;1750,330773;2282,952071;1710,62755;4177,32369;2970,210858;2139,033493;2403,41686;1410,753126;576,0961378;1131,861731;1690,617592;2243,875714;1629,173731;1206,897888;485,1212379;2252,79668;1955,057258;1949,335329;1908,695349;1779,708928;2010,276175;1934,093988;791,8128673;1730,753281;3301,921373;2354,929134;2003,303715;1963,733015;2849,876134;2440,158356;1325,159762;1573,873555;1713,472407;1841,399987;2041,968114;2181,589371;43
20;4685,545546;4953,672292;4820,209884;3336,735048;3399,402742;3910,543781;2606,248375;3617,74303;3789,852701;4199,445943;3343,521771;3434,974715;3357,997542;4576,372542;4656,440639;3541,137676;3637,956508;3640,53712;3725,640551;3182,583375;4255,754746;3876,313432;4037,630963;4599,743713;2483,895351;3203,16324;1716,426179;2196,451544;2815,773818;1462,24096;2062,701396;1804,950602;2030,019041;1651,913712;1970,462215;2137,577686;1791,991755;4397,455132;3190,342299;2220,397698;2260,54683;1631,115114;677,0719492;988,9917009;1910,749034;2464,007155;1849,53572;1427,259876;585,2005412;2107,422295;1812,187228;1806,465299;1765,825319;1634,334543;1820,590236;1744,408049;602,1269276;1827,817472;3522,052815;2575,060576;1857,92933;1818,35863;2704,501749;2250,472417;1545,52175;1794,235543;1933,834395;2061,761975;2262,330103;2401,951359;27
21;4720,915601;4989,042347;4855,579939;3372,105102;3434,772796;3945,913835;2644,122785;3653,113085;3825,222756;4234,815998;3378,891826;3470,34477;3393,367597;4611,742596;4691,810694;3576,507731;3673,326563;3675,907175;3761,010605;3217,95343;4291,124801;3911,683487;4073,001017;4635,113768;2521,769761;2920,780874;1798,612143;1914,069178;2533,391452;1544,426925;2100,575806;1840,320656;2067,893451;1431,274413;1688,079849;2175,452096;1603,127575;4115,072766;2907,959933;2031,533518;2295,916885;1348,732748;468,5961627;1024,361756;1628,366668;2181,624789;1567,153354;1144,87751;377,6212627;2145,296705;1847,557283;1841,835354;1801,195374;1672,208953;1902,7762;1826,594013;684,3128921;1623,253306;3239,670449;2292,67821;1895,80374;1856,23304;2742,376159;2332,658381;1263,139384;1511,853178;1651,452029;1779,37961;1979,947737;2119,568993;32
