MANZENT;Poblacion;id
13127071001009;45;110
13127071001008;43;111
13127061002009;11;112
13127071003007;47;113
13127071004013;53;114
13127071001015;69;115
13127021002015;74;116
13127071004017;58;117
13127071001021;42;118
13127111004005;51;119
13127111001038;18;120
13127061001008;38;121
13127071003029;66;122
13127061005011;68;123
13127071003030;50;124
13127071003021;60;125
13127071001022;54;126
13127071001017;46;127
13127071001016;52;128
13127121003024;58;129
13127061004015;37;130
13127071001020;52;131
13127071003018;76;132
13127071001019;71;133
13127051001032;55;134
13127071004018;44;135
13127061007026;51;136
13127051002036;0;137
13127061005010;82;138
13127051002003;47;139
13127071004014;71;140
13127071001010;58;141
13127071001018;46;142
13127061004006;42;143
13127071004028;74;144
13127061005009;86;145
13127111002020;72;146
13127071003011;67;147
13127111002024;48;148
13127111001015;71;149
13127071003010;52;150
13127121003018;76;151
13127061002014;57;152
13127121003013;90;153
13127071004021;64;154
13127071001028;61;155
13127061001010;88;156
13127121003014;122;157
13127121003017;68;158
13127121003019;111;159
13127061005008;90;160
13127051002004;41;161
13127071003012;74;162
13127011001023;35;163
13127061002011;54;164
13127121003020;66;165
13127121003030;78;166
13127121003031;58;167
13127071001027;52;168
13127121003015;73;169
13127121003016;76;170
13127111001016;94;171
13127071003025;71;172
13127071003013;79;173
13127061002010;46;174
13127121003028;85;175
13127061005018;41;176
13127041004002;44;177
13127071001024;53;178
13127121003032;62;179
13127071003008;72;180
13127041001028;24;181
13127071003024;63;182
13127061004010;79;183
13127111003013;27;184
13127071003014;65;185
13127121003044;73;186
13127061007002;33;187
13127111001007;101;188
13127111003029;25;189
13127121003027;72;190
13127071001026;41;191
13127041002015;60;192
13127071003023;57;193
13127061005007;79;194
13127041001010;69;195
13127071003022;63;196
13127061007015;44;197
13127041003004;46;198
13127111004012;27;199
13127111001017;100;200
13127111001008;101;201
13127121002018;44;202
13127111002027;41;203
13127091001007;82;204
13127061006029;36;205
13127061007014;38;206
13127071001025;45;207
13127111002025;49;208
13127121003037;118;209
13127111002008;94;210
13127111002026;34;211
13127021002014;58;212
13127021002027;47;213
13127111002010;97;214
13127061007016;41;215
13127061001004;72;216
13127061005006;72;217
13127061001005;76;218
13127061006023;61;219
13127061004011;86;220
13127111002007;68;221
13127061001014;74;222
13127061001032;85;223
13127111002009;74;224
13127061001026;54;225
13127061005005;96;226
13127121002003;0;227
13127061002015;39;228
13127041004021;53;229
13127041003027;56;230
13127071003009;79;231
13127121003033;71;232
13127041002007;50;233
13127091003011;46;234
13127111004017;44;235
13127111001003;72;236
13127111002011;60;237
13127061006013;97;238
13127061006043;82;239
13127061006027;66;240
13127111001004;89;241
13127061005012;9;242
13127061001011;99;243
13127061006036;73;244
13127051001005;89;245
13127061005004;81;246
13127061001016;98;247
13127111004015;56;248
13127061006035;99;249
13127061001006;84;250
13127061001031;81;251
13127051003008;55;252
13127111005013;47;253
13127061006024;76;254
13127021004002;68;255
13127051001031;77;256
13127111004002;65;257
13127041003026;56;258
13127061001015;139;259
13127111004010;64;260
13127061006044;121;261
13127051003007;55;262
13127061006054;69;263
13127101001003;0;264
13127061006037;78;265
13127061001027;96;266
13127121002021;62;267
13127061001028;105;268
13127061004028;104;269
13127061006014;70;270
13127061007003;37;271
13127121001007;75;272
13127071004004;29;273
13127061007025;53;274
13127041002021;89;275
13127111001037;74;276
13127061007020;61;277
13127061004026;95;278
13127061005003;77;279
13127061006040;73;280
13127071004007;57;281
13127111002006;81;282
13127111002003;101;283
13127071003015;71;284
13127121001009;55;285
13127121003047;50;286
13127051003029;59;287
13127061001033;95;288
13127061004027;112;289
13127061006012;102;290
13127111002002;113;291
13127121002010;58;292
13127041003043;63;293
13127061001013;202;294
13127061001017;105;295
13127061006051;90;296
13127051003028;67;297
13127121001018;64;298
13127051003003;157;299
13127121001005;76;300
13127011002014;96;301
13127111002005;70;302
13127111001006;104;303
13127071004023;97;304
13127041003030;83;305
13127061006022;80;306
13127111002001;113;307
13127061004029;86;308
13127111001005;133;309
13127091001011;52;310
13127041003029;78;311
13127071004009;70;312
13127051003023;238;313
13127121003046;97;314
13127111003026;52;315
13127091001013;37;316
13127061001021;89;317
13127091002012;75;318
13127061005002;124;319
13127061001009;90;320
13127041001012;81;321
13127121001017;80;322
13127051003009;74;323
13127091001014;78;324
13127111001011;91;325
